insect_sp,n,insect_order,cpf,social,nest_location,larval_diet,insect_guild,native,notes
Dasysyrphus venustus,1,Diptera,cpf_no,social_no,above,predator,syrphidae,,
Epeolus sp.,1,Hymenoptera,cpf_no,social_no,below,pollenivore,apidae,,
Epistrophe xanthostoma,1,Diptera,cpf_no,social_no,above,predator,syrphidae,,
Eulonchus sapphinnus,1,Diptera,cpf_no,social_no,above,parasite,otherfly,,
Euodynerus sp. 1,1,Hymenoptera,cpf_yes,social_no,above,predator,otherhym,,
Eupeodes luniger,1,Diptera,cpf_no,social_no,above,predator,syrphidae,,
Eupeodes sp. 1,1,Diptera,cpf_no,social_no,above,predator,syrphidae,,
Eupeodes sp. 2,1,Diptera,cpf_no,social_no,above,predator,syrphidae,,
Habropoda miserabilis,1,Hymenoptera,cpf_yes,social_no,below,pollenivore,apidae,,
Halictus sp.,1,Hymenoptera,cpf_yes,both,below,pollenivore,halictidae,,
Hemipenthes edwardsii,1,Diptera,cpf_no,social_no,above,parasite,bombyliidae,,
Hemipenthes morioides,1,Diptera,cpf_no,social_no,above,parasite,bombyliidae,,
Hemipenthes seminigra,1,Diptera,cpf_no,social_no,above,parasite,bombyliidae,,
Heriades carinata,1,Hymenoptera,cpf_yes,social_no,above,pollenivore,megachilidae,,
Heriades sp.,1,Hymenoptera,cpf_yes,social_no,above,pollenivore,megachilidae,,
Heringia sp. 1,1,Diptera,cpf_no,social_no,above,predator,syrphidae,,
Heringia sp. 4,1,Diptera,cpf_no,social_no,above,predator,syrphidae,,
Hoplitis sp. 2 (metallic),1,Hymenoptera,cpf_yes,social_no,above,pollenivore,megachilidae,,
Hylaeus mesillae,1,Hymenoptera,cpf_yes,social_no,above,pollenivore,colletidae,,
Hylaeus nevadensis,1,Hymenoptera,cpf_yes,social_no,above,pollenivore,colletidae,,
Ichneumonidae sp. 6,1,Hymenoptera,cpf_no,social_no,above,parasite,otherhym,,
Lasioglossum anhypops,1,Hymenoptera,cpf_yes,,below,pollenivore,halictidae,,
Lasioglossum hyalinum,1,Hymenoptera,cpf_yes,,below,pollenivore,halictidae,,
Lasioglossum marinensis,1,Hymenoptera,cpf_yes,,below,pollenivore,halictidae,,
Lasioglossum reasbeckae,1,Hymenoptera,cpf_yes,,below,pollenivore,halictidae,,
Lasioglossum sagax,1,Hymenoptera,cpf_yes,,below,pollenivore,halictidae,,
Lasioglossum sp. 7,1,Hymenoptera,cpf_yes,,below,pollenivore,halictidae,,
Lejops curvipes,1,,,,,,,,
Lejota,1,,,,,,,,
Lepturinae sp.,1,,,,,,,,
Lucilia thatuna,1,,,,,,,,
Lycaenidae sp.2,1,,,,,,,,
Mallota sackeni,1,,,,,,,,
Megachile fidelis,1,Hymenoptera,cpf_yes,social_no,above,pollenivore,megachilidae,,
Megachile inermis,1,Hymenoptera,cpf_yes,social_no,above,pollenivore,megachilidae,,
Megachile parallela,1,Hymenoptera,cpf_yes,social_no,above,pollenivore,megachilidae,,
Melangyna triangulifera,1,,,,,,,,
Melissodes communis,1,Hymenoptera,cpf_yes,social_no,below,pollenivore,apidae,,
Melissodes sp. 1,1,Hymenoptera,cpf_yes,social_no,below,pollenivore,apidae,,
Mycetophilidae sp.,1,,,,,,,,
Myopa sp. 3,1,,,,,,,,
Nabidae,1,,,,,,,,
Neopasites aff. fulviventris,1,,,,,,,,
Nomada cressonii,1,Hymenoptera,cpf_no,social_no,below,parasite,apidae,,
Nomada sp. B,1,Hymenoptera,cpf_no,social_no,below,parasite,apidae,,
Nomada sp. D,1,Hymenoptera,cpf_no,social_no,below,parasite,apidae,,
Nomada sp. OK1,1,Hymenoptera,cpf_no,social_no,below,parasite,apidae,,
Nomada sp. OK13,1,Hymenoptera,cpf_no,social_no,below,parasite,apidae,,
Nomada sp. OK14,1,Hymenoptera,cpf_no,social_no,below,parasite,apidae,,
Nomada sp. OK18,1,Hymenoptera,cpf_no,social_no,below,parasite,apidae,,
Nomada sp. OKF,1,Hymenoptera,cpf_no,social_no,below,parasite,apidae,,
Nomada sp. OKI,1,Hymenoptera,cpf_no,social_no,below,parasite,apidae,,
Nomada sp. OKJ,1,Hymenoptera,cpf_no,social_no,below,parasite,apidae,,
Nomada sp. OKK,1,Hymenoptera,cpf_no,social_no,below,parasite,apidae,,
Nomada sp. OKN,1,Hymenoptera,cpf_no,social_no,below,parasite,apidae,,
Nomada sp. Y,1,Hymenoptera,cpf_no,social_no,below,parasite,apidae,,
Oecophoridae,1,,,,,,,,
Orthonevra stigmata,1,,,,,,,,
Osmia aff. Pusilla,1,Hymenoptera,cpf_yes,social_no,above,pollenivore,megachilidae,,
Osmia cornifrons,1,Hymenoptera,cpf_yes,social_no,above,pollenivore,megachilidae,,
Osmia regulina,1,Hymenoptera,cpf_yes,social_no,above,pollenivore,megachilidae,,
Osmia sedula,1,Hymenoptera,cpf_yes,social_no,above,pollenivore,megachilidae,,
Papilio rutulus,1,,,,,,,,
Paragus sp. 3,1,,,,,,,,
Paravilla,1,,,,,,,,
Parhelophilus sp.,1,,,,,,,,
Passaloceaus,1,,,,,,,,
Peleteria iterans,1,,,,,,,,
Phaenica sp.,1,,,,,,,,
Philanthus sp. 1,1,,,,,,,,
Phormia regina,1,,,,,,,,
Phyciodes mylitta,1,,,,,,,,
Pidonia scripta,1,,,,,,,,
Pipiza sp. 1,1,,,,,,,,
Pipunculidae sp.,1,,,,,,,,
Platycherius latitarsus,1,Diptera,cpf_no,social_no,,,syrphidae,,
Plebejus sp.,1,,,,,,,,
Podalonia,1,,,,,,,,
Pollenia angustigena,1,,,,,,,,
Pollenia labialis,1,,,,,,,,
Pollenia vagabunda,1,,,,,,,,
Polygonia satyrus,1,,,,,,,,
Pyrgus communis,1,,,,,,,,
Pyrgus ruralis,1,,,,,,,,
Raphidiidae,1,,,,,,,,
Scutelleridae,1,,,,,,,,
Sepedon sp.,1,,,,,,,,
Sepsidae,1,,,,,,,,
Sericomyia lata,1,,,,,,,,
Sericomyia sp.,1,,,,,,,,
Sphaerophoria bifurcata,1,Diptera,cpf_no,social_no,above,predator,syrphidae,,
Sphecodes sp. 15,1,Hymenoptera,cpf_no,social_no,below,parasite,halictidae,,
Sphecodes sp. 17,1,Hymenoptera,cpf_no,social_no,below,parasite,halictidae,,
Sphecodes sp. OK4,1,Hymenoptera,cpf_no,social_no,below,parasite,halictidae,,
Stelis carnifex,1,Hymenoptera,cpf_no,social_no,below,parasite,,,
Symphyta sp. 4,1,,,,,,,,
Syrphus toruus,1,,,,,,,,
Tachinidae sp. 3,1,,,,,,,,
Temnostoma aequale,1,,,,,,,,
Trichiosoma triangulum,1,,,,,,,,
Trichiotinus assimilis,1,,,,,,,,
Trypoxylon,1,,,,,,,,
Typocerus sp.,1,,,,,,,,
Tyria jacobeae,1,,,,,,,,
Ulidiidae,1,,,,,,,,
Urocerus albicornis,1,,,,,,,,
Vanessa atalanta,1,,,,,,,,
Villa sp. 2,1,Diptera,cpf_no,social_no,,,,,
Xylocopa tabaniformis,1,Hymenoptera,cpf_yes,social_no,above,pollenivore,apidae,,
Xylophagidae sp.,1,,,,,,,,
Andrena mariae,0,Hymenoptera,cpf_yes,social_no,below,pollenivore,andrenidae,,
Andrena suavis,0,Hymenoptera,cpf_yes,social_no,below,pollenivore,andrenidae,,
Osmia nr hesperos,0,Hymenoptera,cpf_yes,social_no,above,pollenivore,megachilidae,,
Neuroptera,0,Neuroptera,no,no,various,various,non-pollinator,,
Therevidae,0,Hemiptera,no,no,various,various,non-pollinator,,
Odonata,0,Odonata,no,no,various,various,non-pollinator,,
Calliphora genarum,0,Diptera,cpf_no,social_no,above,detritivore,otherfly,,
Calliphora grahami,0,Diptera,cpf_no,social_no,above,detritivore,otherfly,,
Cyanus elongata,0,Diptera,cpf_no,social_no,above,detritivore,otherfly,,
Dolichopodidae sp.,0,Diptera,cpf_no,social_no,aquatic,detritivore,otherfly,,
Lucilia elongata,0,Diptera,cpf_no,social_no,above,detritivore,otherfly,,
Melanodexia sp.,0,Diptera,cpf_no,social_no,above,detritivore,otherfly,,
Odontomyia sp. 4,0,Diptera,cpf_no,social_no,aquatic,herbivore,otherfly,,
Pollenia pediculata,0,Diptera,cpf_no,social_no,below,predator,otherfly,,
Protophormia terraenovae,0,Diptera,cpf_no,social_no,above,detritivore,otherfly,,
Rhagionidae,0,Diptera,cpf_no,social_no,above,predator,otherfly,,
Eristalis bardus,0,Diptera,cpf_no,social_no,aquatic,detritivore,syrphidae,,
Heringia,0,Diptera,cpf_no,social_no,above,predator,syrphidae,,
